Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc
18016501049710004,18,1,65,1,4971,4,0,,,,,,,,,,,,,,,
17025201151340001,17,2,52,1,15134,1,0,,,,,,,,,,,,,,,
9065302050980010,9,6,53,2,5098,10,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5015101108390005,5,1,51,1,10839,5,0,,,,,,,,,,,,,,,
18045101068250010,18,4,51,1,6825,10,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9045002017400002,9,4,50,2,1740,2,0,,,,,,,,,,,,,,,
9065302050430003,9,6,53,2,5043,3,0,,,,,,,,,,,,,,,
5045001173390009,5,4,50,1,17339,9,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7105101106160002,7,10,51,1,10616,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,JUNTA PARROQUIAL
10035001113410001,10,3,50,1,11341,1,0,,,,,,,,,,,,,,,
11016001048830003,11,1,60,1,4883,3,0,,,,,,,,,,,,,,,
9055003002620025,9,5,50,3,262,25,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18016001038740003,18,1,60,1,3874,3,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11016001058790005,11,1,60,1,5879,5,0,,,,,,,,,,,,,,,
9135002039110008,9,13,50,2,3911,8,0,,,,,,,,,,,,,,,
6015701079180007,6,1,57,1,7918,7,0,,,,,,,,,,,,,,,
18095101070090024,18,9,51,1,7009,24,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1065201227190004,1,6,52,1,22719,4,0,,,,,,,,,,,,,,,
8045302127750003,8,4,53,2,12775,3,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015001056150007,2,1,50,1,5615,7,0,,,,,,,,,,,,,,,
9035002155790005,9,3,50,2,15579,5,0,,,,,,,,,,,,,,,
5055201206140007,5,5,52,1,20614,7,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18095001053280002,18,9,50,1,5328,2,0,,,,,,,,,,,,,,,
6025903006340006,6,2,59,3,634,6,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13085102211770001,13,8,51,2,21177,1,0,,,,,,,,,,,,,,,
13035702140660010,13,3,57,2,14066,10,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9065402057780009,9,6,54,2,5778,9,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5065301099070002,5,6,53,1,9907,2,0,,,,,,,,,,,,,,,
9105003010210012,9,10,50,3,1021,12,0,,,,,,,,,,,,,,,
13205003006460002,13,20,50,3,646,2,0,,,,,,,,,,,,,,,
18016201018760024,18,1,62,1,1876,24,0,,,,,,,,,,,,,,,
5045001180600028,5,4,50,1,18060,28,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6025901119770003,6,2,59,1,11977,3,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1035001081130001,1,3,50,1,8113,1,0,,,,,,,,,,,,,,,
3035001043250007,3,3,50,1,4325,7,0,,,,,,,,,,,,,,,
18065001078100019,18,6,50,1,7810,19,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6035101066690004,6,3,51,1,6669,4,0,,,,,,,,,,,,,,,
1015703002230012,1,1,57,3,223,12,0,,,,,,,,,,,,,,,
21045002041190003,21,4,50,2,4119,3,0,,,,,,,,,,,,,,,
18085301013030016,18,8,53,1,1303,16,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18045101069880009,18,4,51,1,6988,9,0,,,,,,,,,,,,,,,
21065003010300001,21,6,50,3,1030,1,0,,,,,,,,,,,,,,,
10035001102280023,10,3,50,1,10228,23,0,,,,,,,,,,,,,,,
1016801122660025,1,1,68,1,12266,25,0,,,,,,,,,,,,,,,
5045001150870016,5,4,50,1,15087,16,0,,,,,,,,,,,,,,,
6016001022640005,6,1,60,1,2264,5,0,,,,,,,,,,,,,,,
18016001038740042,18,1,60,1,3874,42,0,,,,,,,,,,,,,,,
12025102116120017,12,2,51,2,11612,17,0,,,,,,,,,,,,,,,
17025301030460003,17,2,53,1,3046,3,0,,,,,,,,,,,,,,,
5045001173390019,5,4,50,1,17339,19,0,,,,,,,,,,,,,,,
6035001067890004,6,3,50,1,6789,4,0,,,,,,,,,,,,,,,
18065101089900013,18,6,51,1,8990,13,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015301078560006,2,1,53,1,7856,6,0,,,,,,,,,,,,,,,
9125002088720012,9,12,50,2,8872,12,0,,,,,,,,,,,,,,,
6095001025630007,6,9,50,1,2563,7,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
