identificador,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr
1015801071650014,0,0,,,0,0,0,
1015801071650015,0,0,,,0,0,0,
1015801071650016,0,0,,,0,0,0,
1015801071650017,0,0,1.0,0.0,0,0,0,0.0
1015801071650018,0,0,,0.0,0,0,0,0.0
1015801071650020,0,0,,,0,0,0,
1015801077640001,0,0,0.0,0.0,0,0,0,0.0
1015801077640002,0,0,,,0,0,0,
1015801077640004,0,0,0.0,0.0,0,0,0,0.0
1015801077640005,0,0,0.0,0.0,0,0,0,0.0
1015801077640006,0,0,,,0,0,0,
1015801078400001,0,0,0.0,0.0,0,0,0,0.0
1015801078400002,0,0,0.0,0.0,0,0,0,0.0
1015801078400003,0,0,,,0,0,0,
1015864000991217,0,0,,,0,0,0,
1015901037520003,0,0,,0.0,0,0,0,0.0
1015901037520004,0,0,0.0,0.0,0,0,0,0.0
1015901037520005,0,0,1.0,0.0,0,0,0,0.0
1015901037520006,0,0,1.0,0.0,0,0,0,0.0
1015901037520007,0,0,1.0,0.0,0,0,0,0.0
1015901037520008,0,0,,0.0,0,0,0,0.0
1015901037980001,0,0,0.0,0.0,0,0,0,0.0
1015901037980002,0,0,0.0,0.0,0,0,0,0.0
1015901037980003,0,0,0.0,0.0,0,0,0,0.0
1015901037980004,0,0,1.0,0.0,0,0,0,0.0
1015901037980005,0,0,,,0,0,0,
1015901037980006,0,0,,0.0,0,0,0,0.0
1015901037980007,0,0,,,0,0,0,
1015901037980008,0,0,1.0,0.0,0,0,0,0.0
1015901037980009,0,0,1.0,0.0,0,0,0,0.0
1015901037980010,0,0,0.0,0.0,0,0,0,0.0
1015901037980011,0,0,0.0,0.0,0,0,0,0.0
1015901037980012,0,0,0.0,0.0,0,0,0,0.0
1015901037980013,0,0,1.0,0.0,0,0,0,0.0
1015901037980014,0,0,1.0,0.0,0,0,0,0.0
1015901037980015,1,1,,,0,0,0,
1015901043600001,0,0,0.0,0.0,0,0,0,0.0
1015901043600004,0,0,0.0,0.0,0,0,0,0.0
1015901043600005,0,0,0.0,0.0,0,0,0,0.0
1015901047250001,0,0,0.0,0.0,0,0,0,0.0
1015901047250002,0,0,0.0,0.0,0,0,0,0.0
1015901047250003,0,0,0.0,0.0,0,0,0,0.0
1015901047250009,0,0,,0.0,0,0,0,0.0
1015901047250010,0,0,0.0,0.0,0,0,0,0.0
1016001074860001,0,0,,0.0,0,0,0,0.0
1016001074860002,0,0,,0.0,0,1,0,0.0
1016001074860003,0,0,,0.0,0,0,0,0.0
1016001074860006,0,0,1.0,0.0,0,0,0,0.0
1016001074860007,0,0,0.0,0.0,0,0,0,0.0
1016001074860008,0,0,0.0,0.0,0,0,0,0.0
1016001074860009,0,0,0.0,0.0,0,0,0,0.0
1016001080970001,0,0,0.0,0.0,0,0,0,0.0
1016001080970003,0,0,0.0,0.0,0,0,0,0.0
1016001080970005,0,0,,,0,0,0,
1016001080970006,0,0,0.0,0.0,0,0,0,0.0
1016001080970007,0,0,,,0,0,0,
1016001081820003,0,0,0.0,0.0,0,0,0,0.0
1016001083850001,0,0,,0.0,0,1,0,0.0
1016001083850002,0,0,1.0,0.0,0,0,0,0.0
1016001083850003,0,0,,,0,0,0,
1016001083850004,0,0,0.0,0.0,0,0,0,0.0
1016001083850007,0,0,0.0,0.0,0,0,0,0.0
1016001083850008,0,0,,,0,0,0,
1016001084070003,0,0,0.0,0.0,0,0,0,0.0
1016001084070007,0,0,1.0,0.0,0,0,0,0.0
1016001084070009,0,0,,0.0,0,0,0,0.0
1016001084070011,0,0,,0.0,0,0,0,0.0
1016001084070013,0,0,0.0,0.0,0,1,0,0.0
1016001084070014,0,0,0.0,0.0,0,0,0,0.0
1016001084070015,0,0,0.0,0.0,0,1,0,0.0
1016001084070017,0,0,,,0,0,0,
1016001084070018,0,0,,,0,0,0,
1016001084070019,0,0,0.0,0.0,0,0,0,0.0
1016001084070023,0,0,,0.0,0,0,0,0.0
1016101119110001,0,0,,,0,0,0,
1016101119110002,0,0,,0.0,0,0,0,0.0
1016101119110003,0,0,,0.0,0,0,0,0.0
1016101119110004,0,0,,0.0,0,0,0,0.0
1016101119110005,0,0,,0.0,0,0,0,0.0
1016101119110006,0,0,,0.0,0,0,0,0.0
1016101119110007,0,0,,0.0,0,0,0,0.0
1016101119110009,0,0,,,0,0,0,
1016101119110010,0,0,,,0,0,0,
1016101120040001,0,0,,,0,0,0,
1016101120040002,0,0,,0.0,0,0,0,0.0
1016101120040003,0,0,,,0,0,0,
1016101120040004,0,0,,,0,0,0,
1016101120040005,0,0,,0.0,0,0,0,0.0
1016101123650001,0,0,,0.0,0,0,0,0.0
1016101123650002,0,0,,0.0,0,0,0,0.0
1016101123650003,0,0,,0.0,0,0,0,0.0
1016101123650005,0,0,0.0,0.0,0,0,0,0.0
1016101123650006,0,0,1.0,0.0,0,0,0,0.0
1016101123650007,0,0,,,1,0,0,
1016101130920001,0,0,1.0,0.0,0,0,0,0.0
1016101130920002,0,0,0.0,0.0,0,0,0,0.0
1016101130920003,0,0,1.0,0.0,0,0,0,0.0
1016101130920004,0,0,1.0,0.0,0,0,0,0.0
1016101137350001,0,0,,0.0,0,1,0,0.0
1016101137350002,0,0,,0.0,0,1,0,0.0
1016101137350003,0,0,,0.0,0,0,0,0.0
1016101137350004,0,0,0.0,0.0,0,0,0,0.0
1016101137350005,0,0,0.0,0.0,0,0,0,0.0
1016101137400001,0,0,0.0,0.0,0,0,0,0.0
1016101137400002,0,0,,0.0,0,0,0,0.0
1016101137400003,0,0,0.0,0.0,0,0,0,0.0
1016101137400004,0,0,0.0,0.0,0,0,0,0.0
