Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
9065451000993391,54,0.0,0.0,1.0,0.0,0.0,1,99,3,4,8.0,149.0,6.0,0,1,825.0,0.0,0.0,0.0,825.0,
9065662000990362,56,0.0,0.0,1.0,0.0,0.0,1,56,1,3,8.0,10.0,2.0,1,1,36.363636363636395,0.0,0.0,0.0,36.363636363636395,
9085061000992498,50,0.0,0.0,0.0,0.0,0.0,1,46,2,6,10.0,3.0,6.0,0,1,7.72727272727273,0.0,0.0,0.0,9.09090909090909,3.0
9095051000993406,50,0.0,0.0,0.0,0.0,1.0,1,99,2,119,7.0,112.98,2.0,1,1,534.5454545454551,0.0,0.0,0.0,534.5454545454551,675.0
9115451000993333,54,0.0,0.0,1.0,0.0,1.0,1,48,1,6,11.0,100.0,6.0,1,1,525.0,0.0,0.0,0.0,525.0,10000.0
9115451000993333,54,0.0,0.0,1.0,0.0,1.0,1,48,1,6,7.0,100.0,6.0,1,1,515.454545454546,0.0,0.0,0.0,525.0,10000.0
9115451000993347,54,0.0,0.0,1.0,0.0,1.0,0,58,2,8,12.0,28.0,6.0,1,1,156.363636363636,,,,156.363636363636,3080.0
9115451000993347,54,0.0,0.0,1.0,0.0,1.0,0,58,2,8,7.0,28.0,6.0,1,1,156.363636363636,,,,164.18181818181802,3080.0
9115451000993371,54,0.0,0.0,1.0,1.0,1.0,1,99,2,24,5.0,200.0,6.0,1,1,1527.2727272727302,0.0,0.0,0.0,1527.2727272727302,12000.0
9115451000993371,54,0.0,0.0,1.0,1.0,1.0,1,99,2,24,12.0,198.0,6.0,1,1,1527.2727272727302,0.0,0.0,0.0,1527.2727272727302,12000.0
9115451000993384,54,0.0,0.0,1.0,0.0,1.0,1,99,2,22,12.0,46.0,6.0,1,1,292.204545454545,0.0,0.0,0.0,292.204545454545,3680.0
9115451000993384,54,0.0,0.0,1.0,0.0,1.0,1,99,2,22,7.0,46.0,6.0,1,1,292.204545454545,0.0,0.0,0.0,292.204545454545,3680.0
9115451000993385,54,0.0,0.0,1.0,0.0,1.0,1,55,2,3,12.0,6.5,6.0,1,1,47.88636363636361,0.0,0.0,0.0,47.88636363636361,585.0
9115451000993385,54,0.0,0.0,1.0,0.0,1.0,1,55,2,3,8.0,6.5,6.0,1,1,46.9090909090909,0.0,0.0,0.0,47.88636363636361,585.0
9115451000993393,54,0.0,0.0,1.0,0.0,0.0,1,64,1,41,12.0,70.0,6.0,1,1,501.13636363636397,,,,501.13636363636397,6300.0
