Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,cp_k409ha,cp_k411ha,cp_afecta_prod,cp_riego,cp_aferti,ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,cp_prod,cp_cantidad_npk_fq
13025003019020002,50,0.0,0.0,,0.0,0.0,1,53,2,10,1.0,1.0,2.0,0,1,0.363636363636364,0.0,0.0,0.0,0.363636363636364,1.0
12065104000040013,51,0.0,0.0,,,0.0,1,52,1,6,4.99,4.99,2.0,0,0,4.5454545454545485,0.0,0.0,0.0,4.5454545454545485,
12065104000040007,51,0.0,0.0,,,0.0,0,79,1,2,7.0,7.0,2.0,1,1,1.81818181818182,0.0,0.0,0.0,1.81818181818182,700.0
12125002058330001,50,0.0,0.0,0.0,0.0,0.0,1,58,2,17,0.5,0.5,7.0,0,1,0.363636363636364,0.0,0.0,0.0,0.363636363636364,100.0
12075404000020035,54,0.0,0.0,,0.0,0.0,1,54,1,1,1.48,1.48,2.0,1,1,0.454545454545455,0.0,0.0,0.0,0.454545454545455,
12075404000020035,54,0.0,0.0,,0.0,0.0,1,54,1,1,1.0,,,1,1,,0.0,0.0,0.0,,
12065104000040006,51,0.0,0.0,,,0.0,1,64,1,7,14.0,14.0,2.0,0,0,3.18181818181818,1.0,1.0,1.0,3.18181818181818,
12065104000030016,51,0.0,0.0,,,0.0,0,76,1,3,4.0,4.0,2.0,0,0,0.454545454545455,0.0,0.0,0.0,0.454545454545455,
2075002001830004,50,0.0,0.0,,,0.0,0,55,1,1,5.0,5.0,7.0,0,1,5.0,0.0,0.0,0.0,5.0,250.0
2075002000390010,50,0.0,0.0,,,0.0,1,64,2,4,11.9952,11.9952,7.0,1,1,11.590909090909099,0.0,0.0,0.0,11.590909090909099,425.0
12075404000020038,54,0.0,0.0,,,0.0,1,72,1,5,6.0,6.0,2.0,1,1,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,6.0
12065104000030001,51,0.0,0.0,,,0.0,1,53,1,2,8.0,8.0,5.0,0,0,9.09090909090909,1.0,1.0,1.0,9.09090909090909,
12065104000040017,51,0.0,0.0,,,0.0,1,89,7,4,1.0,1.0,5.0,0,0,0.454545454545455,0.0,0.0,0.0,0.454545454545455,
12065104000040017,51,0.0,0.0,,,0.0,1,89,7,4,1.0,1.0,2.0,0,0,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,
12075404000020049,54,0.0,0.0,,0.0,0.0,0,33,2,2,30.0,30.0,1.0,0,0,2.81818181818182,0.0,0.0,0.0,2.81818181818182,
12075404000020054,54,0.0,0.0,1.0,1.0,0.0,1,77,1,4,25.0,25.0,7.0,0,0,2.5,0.0,0.0,0.0,2.5,
12065104000030020,51,0.0,0.0,,,0.0,1,30,1,1,10.0,10.0,2.0,0,0,2.7272727272727297,1.0,1.0,1.0,2.7272727272727297,
12075404000020027,54,0.0,0.0,,,0.0,1,50,1,4,19.99,19.99,7.0,0,1,20.4545454545455,0.0,0.0,0.0,20.4545454545455,
12075404000020025,54,0.0,0.0,,0.0,1.0,1,71,2,3,4.0,4.0,7.0,0,1,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,
12075404000020025,54,0.0,0.0,,0.0,1.0,1,71,2,3,25.0,,,0,0,,0.0,0.0,0.0,,
12075404000020056,54,0.0,0.0,,,0.0,1,63,2,3,7.0,7.0,1.0,0,1,0.9090909090909092,0.0,0.0,0.0,0.9090909090909092,6.0
12065104000040032,51,0.0,0.0,,,1.0,0,42,2,1,1.99,1.99,6.0,0,0,0.363636363636364,0.0,0.0,0.0,0.363636363636364,
6105002000240002,50,0.0,1.0,0.0,0.0,0.0,1,82,2,1,28.0,5.0,2.0,0,1,9.09090909090909,1.0,1.0,1.0,9.09090909090909,2.0
12065104000030010,51,0.0,0.0,,,0.0,1,54,2,2,2.0,,,0,0,,0.0,0.0,0.0,,
