Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
1015702000720001,1,1,57,2,72,1,3,3,450,1,,25,5,6,1,.5,.5,.5,.5,.5,.5,,30,35,100,3,7,28,35,100,3,100,0,2,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,450,1,,,4,1.36363636363636,1.27272727272727,0,,,,,,,,25,,,.5,.5,,,,,,,1,12.3357261620839
1015702000720001,1,1,57,2,72,1,4,4,446,1,,3,2,3,1,1.1,1.1,1.1,1.1,1.1,1.1,,30,35,100,3,5,25,35,100,3,100,,5,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,446,1,,,4,1.36363636363636,1.13636363636364,0,,,,,,,,3,1.1,,,1.1,,,,,,,1,19.1824395650808
1015702000720002,1,1,57,2,72,2,1,1,410,1,,8,3,3,2,6,6,6,6,6,6,,15,35,100,5,7,15,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,20,3,,,,,,,2,2,,,2,,,,,,,,,,,,,0,,,411,1,,,4,.340909090909091,.340909090909091,0,,,,,,,,8,6,,,,6,,,,6,,1,14.3924029502083
1015702000720003,1,1,57,2,72,3,1,1,410,1,,12,3,3,2,5.2,5.2,5.2,5.2,5.2,5.2,,14,35,100,5,7,14,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,15,3,,,,,,,1,2,,,1,,,,,,,1.5,5,5,,,,0,2,,411,1,,,4,.318181818181818,.318181818181818,0,,,,,,,,12,,5.2,,,5.2,,,,5.2,5.2,1,16.6909988488031
1015702000720003,1,1,57,2,72,3,2,2,410,1,,12,3,3,2,.15,.15,.15,.15,.15,.15,,.4,35,100,5,7,,,,,,,.4,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,.00909090909090909,,0,,,,,,,,12,,.15,,,.15,,,,,,1,32.0463850219478
1015702000720004,1,1,57,2,72,4,1,1,410,2,1,5,3,3,2,3.3,3.3,3.3,3.3,3.3,3.3,,9,35,100,5,6,9,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,.204545454545455,.204545454545455,0,,,,,,,,5,3.3,,,,3.3,,,,,,2,21.057376725939
1015702000720004,1,1,57,2,72,4,1,2,482,2,1,40,3,3,1,3.3,3.3,3.3,3.3,3.3,3.3,,4,35,100,5,1,4,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,411,1,,,4,.0909090909090909,.0909090909090909,0,,,,,,,,40,,,3.3,3.3,,,,,,,2,21.057376725939
1015702000720004,1,1,57,2,72,4,2,3,478,1,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,499,1,,,4,,,,,,,,,,,0,1.1,,,1.1,,,,,,,1,29.2596119769476
1015702000720004,1,1,57,2,72,4,3,4,478,1,,,,,,.75,.75,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,2,,,2,,,,,,,,,,,,,,,,499,1,,,4,,,,,,,,,,,0,.75,,,.75,,,,,,,1,12.9294834629805
1015702000720005,1,1,57,2,72,5,1,1,410,1,,13,3,3,2,5.7,5.7,5.7,5.7,5.7,5.7,,14,35,100,5,7,14,35,100,5,100,,,,,,,,,,2,2,2,,,,,,,,,1,2,,,,,,,1,20,3,,,,,,,1,2,,,1,,,,,,,1.3,5,2,,,,,11,,411,1,,,4,.318181818181818,.318181818181818,0,,,,,,,,13,,5.7,,,5.7,,,,5.7,5.7,1,14.004670347603
