Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin
1015601063680005,1,1,56,1,6368,5,2.58,4,2,2,4,2,2,,,,,,,1,,,4,51.6940817155196
1015601063680007,1,1,56,1,6368,7,.98,1,,1,1,,1,,,,,,,1,,,4,54.9278540204358
1015601063680008,1,1,56,1,6368,8,.52,1,,1,1,,1,,,,,,,1,,,4,53.7481557377587
1015601063680009,1,1,56,1,6368,9,.89,3,2,1,3,2,1,,,,,,,1,,,4,50.086103018447
1015701000570001,1,1,57,1,57,1,16.06,2,1,1,2,1,1,,,,,,,1,,,4,21.7777284659755
1015701000570002,1,1,57,1,57,2,6.81,4,3,1,3,2,1,,,,1,1,,1,,,4,36.3302953915443
1015701002470001,1,1,57,1,247,1,18.02,4,4,,4,4,,,,,,,,1,,,4,17.3229747367767
1015701002470003,1,1,57,1,247,3,37.02,1,1,,1,1,,,,,,,,1,,,4,1.57420253868864
1015701003280002,1,1,57,1,328,2,20.01,2,1,1,2,1,1,,,,,,,1,,,4,16.3535204137168
1015701004170001,1,1,57,1,417,1,12.01,2,1,1,2,1,1,,,,,,,1,,,4,49.7218676752693
1015701005090001,1,1,57,1,509,1,6.02,1,1,,1,1,,,,,,,,1,,,4,35.2497232639144
1015701005700001,1,1,57,1,570,1,6.02,1,1,,1,1,,,,,,,,1,,,4,13.7323144557222
1015701005700002,1,1,57,1,570,2,18.01,2,1,1,2,1,1,,,,,,,1,,,4,28.5669682263485
1015701006740001,1,1,57,1,674,1,17,2,2,,2,2,,,,,,,,1,,,4,35.1270371047049
1015701007160001,1,1,57,1,716,1,135,1,1,,1,1,,,,,,,,1,,,4,4.42340467244433
1015701007480001,1,1,57,1,748,1,135,1,1,,1,1,,,,,,,,1,,,4,4.42340467244433
1015701008050001,1,1,57,1,805,1,63,2,2,,2,2,,,,,,,,1,,,4,9.47872429809499
1015701010240001,1,1,57,1,1024,1,26,1,,1,1,,1,,,,,,,1,,,4,22.9676781069225
1015701013150001,1,1,57,1,1315,1,90,2,,2,2,,2,,,,,,,1,,,4,6.6351070086659
1015701013570001,1,1,57,1,1357,1,116,1,1,,1,1,,,,,,,,1,,,4,5.14792785155159
1015701014560001,1,1,57,1,1456,1,15.02,2,,2,2,,2,,,,,,,1,,,4,36.4607814729923
1015701014560002,1,1,57,1,1456,2,14,1,1,,1,1,,,,,,,,1,,,4,1.58699962056897
1015701016040001,1,1,57,1,1604,1,115,4,4,,1,1,,,,,3,3,,1,,,4,5.19269244156508
1015701016530001,1,1,57,1,1653,1,35.25,2,1,1,2,1,1,,,,,,,1,,,4,16.9406987455446
1015701018130002,1,1,57,1,1813,2,10.02,2,,2,2,,2,,,,,,,1,,,4,34.3625135720371
1015701021550001,1,1,57,1,2155,1,250,2,2,,1,1,,1,1,,,,,1,,,4,2.38863852311861
1015701021750001,1,1,57,1,2175,1,20,2,1,1,2,1,1,,,,,,,1,,,4,29.8579815389992
1015701023230002,1,1,57,1,2323,2,35,2,1,1,2,1,1,,,,,,,1,,,4,12.629555221633
1015701032570001,1,1,57,1,3257,1,45,2,2,,2,2,,,,,,,,1,,,4,12.6215351111752
1015701034340001,1,1,57,1,3434,1,10.06,2,1,1,2,1,1,,,,,,,1,,,4,27.995153125968
1015701034340003,1,1,57,1,3434,3,10,3,,3,3,,3,,,,,,,1,,,4,17.5839546277668
1015701044060001,1,1,57,1,4406,1,15.33,1,1,,1,1,,,,,,,,1,,,4,38.9536614990162
1015701068490001,1,1,57,1,6849,1,19.01,1,1,,1,1,,,,,,,,1,,,4,31.4129211351912
1015701068510001,1,1,57,1,6851,1,19.01,1,1,,1,1,,,,,,,,1,,,4,31.4129211351912
1015701077200001,1,1,57,1,7720,1,20.1,2,1,1,2,1,1,,,,,,,1,,,4,29.2235637239398
1015702000130001,1,1,57,2,13,1,22.03,7,7,,1,1,,,,,6,6,,1,,,4,9.7302655099238
1015702000130002,1,1,57,2,13,2,19.01,5,4,1,2,1,1,,,,3,3,,1,,,4,10.779545705718
1015702000130003,1,1,57,2,13,3,30.08,4,4,,1,1,,3,3,,,,,1,,,4,.823919204693722
1015702000130005,1,1,57,2,13,5,2.01,2,1,1,2,1,1,,,,,,,1,,,4,16.9658985758856
1015702000350001,1,1,57,2,35,1,1200.14,4,4,,1,1,,3,3,,,,,1,,,4,.567803275044482
1015702000540001,1,1,57,2,54,1,37.02,2,1,1,2,1,1,,,,,,,1,,,4,18.4074398301535
1015702000720001,1,1,57,2,72,1,6.8,4,3,1,3,2,1,,,,1,1,,1,,,4,9.43549814844836
1015702000720002,1,1,57,2,72,2,6.12,4,3,1,3,2,1,,,,1,1,,1,,,4,14.4500605256824
1015702000720003,1,1,57,2,72,3,5.53,3,2,1,3,2,1,,,,,,,1,,,4,17.678433619594
1015702000720004,1,1,57,2,72,4,5.37,1,1,,1,1,,,,,,,,1,,,4,21.7783484482158
1015702000720005,1,1,57,2,72,5,5.73,2,2,,1,1,,,,,1,1,,1,,,4,13.9487778297481
1015702000720006,1,1,57,2,72,6,8.02,2,2,,1,1,,,,,1,1,,1,,,4,11.5920788219107
1015702000720007,1,1,57,2,72,7,9.5,2,2,,1,1,,,,,1,1,,1,,,4,5.15519709406398
1015702000720008,1,1,57,2,72,8,9.5,3,2,1,3,2,1,,,,,,,1,,,4,5.48398619248796
1015702000720009,1,1,57,2,72,9,9.84,2,2,,1,1,,,,,1,1,,1,,,4,3.0617115140611
1015702000720010,1,1,57,2,72,10,5,2,1,1,2,1,1,,,,,,,1,,,4,.305761355482965
1015703000370001,1,1,57,3,37,1,128.01,4,3,1,2,1,1,,,,2,2,,1,,,4,52.3812062033621
1015703000370002,1,1,57,3,37,2,46.01,2,1,1,2,1,1,,,,,,,1,,,4,63.7972821187478
1015703002230001,1,1,57,3,223,1,23.29,2,2,,2,2,,,,,,,,1,,,4,35.1295415029734
1015703002230002,1,1,57,3,223,2,27.42,4,4,,4,4,,,,,,,,1,,,4,3.32174602369615
1015703002230004,1,1,57,3,223,4,2.17,2,1,1,2,1,1,,,,,,,1,,,4,77.5123996907041
1015703002230005,1,1,57,3,223,5,10.56,2,,2,2,,2,,,,,,,1,,,4,48.6230105241735
1015703002230008,1,1,57,3,223,8,24,6,5,1,1,,1,1,1,,4,4,,1,,,4,22.756516576569
1015703002230009,1,1,57,3,223,9,19.13,2,1,1,2,1,1,,,,,,,1,,,4,55.9970998789976
1015703002230012,1,1,57,3,223,12,.8,2,1,1,2,1,1,,,,,,,1,,,4,71.1305399939341
1015703002230013,1,1,57,3,223,13,8.01,2,1,1,2,1,1,,,,,,,1,,,4,80.923736539401
1015703002230014,1,1,57,3,223,14,7,1,,1,1,,1,,,,,,,1,,,4,62.0858710575622
1015703002230015,1,1,57,3,223,15,10.5,1,1,,1,1,,,,,,,,1,,,4,27.2670002048215
1015703002230016,1,1,57,3,223,16,91.3,1,1,,1,1,,,,,,,,1,,,4,18.0452481849297
1015703002230017,1,1,57,3,223,17,11.5,1,1,,1,1,,,,,,,,1,,,4,26.8131256247531
1015703002230018,1,1,57,3,223,18,1,1,1,,1,1,,,,,,,,1,,,4,74.3180139265836
1015754000994062,1,1,57,54,99,4062,12,5,4,1,3,2,1,,,,2,2,,1,,,4,1
1015754000994070,1,1,57,54,99,4070,32.5,3,3,,1,1,,,,,2,2,,1,,,4,1
1015754000994106,1,1,57,54,99,4106,10,2,1,1,2,1,1,,,,,,,1,,,4,1
1015801070830001,1,1,58,1,7083,1,.55,1,1,,1,1,,,,,,,,1,,,4,40.8732691962044
1015801070830002,1,1,58,1,7083,2,.35,1,1,,1,1,,,,,,,,1,,,4,66.1406005539401
1015801070830004,1,1,58,1,7083,4,1.5,1,1,,1,1,,,,,,,,1,,,4,67.9304519737201
1015801070830005,1,1,58,1,7083,5,.45,2,1,1,2,1,1,,,,,,,1,,,4,19.9281994781556
1015801070830010,1,1,58,1,7083,10,1,3,2,1,3,2,1,,,,,,,1,,,4,61.3426518240677
1015801071650001,1,1,58,1,7165,1,.3,1,1,,1,1,,,,,,,,1,,,4,7.68439003596913
1015801071650002,1,1,58,1,7165,2,.15,2,1,1,2,1,1,,,,,,,1,,,4,16.5103266592128
