Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
13145702093810007,13,14,57,2,9381,7,1,1,466,1,,5.0,2.0,3.0,1.0,0.15,0.15,0.15,0.15,0.15,0.15,,200.0,36.0,18.0,3.0,7.0,180.0,36.0,18.0,3.0,100.0,,20.0,,,,,,,,0,0,1,0.15,0.15,,,,,,100.0,1,0,,,,,,,1,50.0,2.0,50.0,2.0,,,,,1,0.0,,,1.0,2.0,5.0,4.0,,,,,,,,,,,,,466,,2.0,,4,1.6363636363636398,1.4727272727272702,0.0,,,,,,,,5,0.15,,,0.15,,,,0.15,0.15,0.15,1,159.013539103978
13145754000994091,13,14,57,54,99,4091,1,1,412,1,,7.0,3.0,3.0,1.0,1.41,1.41,1.41,1.41,1.41,1.41,,55.0,35.0,100.0,7.0,6.0,50.0,35.0,100.0,7.0,100.0,,5.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,,416,,2.0,,4,0.525,0.477272727272727,0.0,,,,,,,,7,1.41,,,1.41,,,,,,,1,1.0
13145754000994091,13,14,57,54,99,4091,2,2,466,1,,20.0,5.0,5.0,1.0,5.34,5.34,5.34,5.34,5.34,5.34,,1500.0,36.0,20.0,3.0,2.0,1300.0,36.0,20.0,3.0,100.0,,200.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,466,,2.0,,4,13.6363636363636,11.8181818181818,0.0,,,,,,,,20,,,5.34,5.34,,,,,,,1,1.0
13145754000994091,13,14,57,54,99,4091,3,3,482,1,,30.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,8.0,35.0,100.0,5.0,2.0,8.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.18181818181818202,0.18181818181818202,0.0,,,,,,,,30,,,4.0,4.0,,,,,,,1,1.0
13145754000994091,13,14,57,54,99,4091,5,4,410,1,,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,15.0,35.0,100.0,5.0,2.0,15.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.340909090909091,0.340909090909091,0.0,,,,,,,,3,5.0,,,,,5.0,,,,,1,1.0
13145754000994091,13,14,57,54,99,4091,6,5,466,1,,20.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,1600.0,36.0,20.0,3.0,2.0,1500.0,36.0,20.0,3.0,100.0,,100.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,466,,2.0,,4,14.5454545454545,13.6363636363636,0.0,,,,,,,,20,,,4.0,4.0,,,,,,,1,1.0
13145754000994095,13,14,57,54,99,4095,1,1,482,1,,17.0,4.0,4.0,1.0,7.75,7.75,7.75,7.75,7.75,7.75,,72.0,35.0,100.0,5.0,6.0,72.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,,,,2.0,2.0,3.0,,,,,,,2.0,1.0,,411,,2.0,,4,1.6363636363636398,1.6363636363636398,0.0,,,,,,,,17,,7.75,,7.75,,,,,,7.75,1,1.0
13145754000994095,13,14,57,54,99,4095,4,3,482,1,,40.0,4.0,4.0,1.0,7.8,7.8,7.8,7.8,7.8,7.8,,60.0,35.0,100.0,5.0,6.0,60.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,,,,1.0,2.0,3.0,,,,,,,,,,411,,2.0,,4,1.3636363636363602,1.3636363636363602,0.0,,,,,,,,40,,,7.8,7.8,,,,,,7.8,1,1.0
13145754000994095,13,14,57,54,99,4095,5,4,466,1,,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,450.0,36.0,15.0,3.0,7.0,400.0,36.0,15.0,3.0,100.0,,50.0,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,466,,2.0,,4,3.06818181818182,2.7272727272727297,0.0,,,,,,,,2,1.0,,,1.0,,,,,,,1,1.0
13145761000992894,13,14,57,61,99,2894,2,2,410,1,,7.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,48.0,35.0,100.0,5.0,3.0,48.0,35.0,100.0,5.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,1.09090909090909,1.09090909090909,0.0,,,,,,,,7,1.0,,,,,1.0,,,,,1,1.0
