Identificador,ual_parr,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cg_k100,cg_k101,cg_k102,eu_k1301,ct_k509,ct_k511ha,ct_afecta_prod,ct_riego,ct_aferti,Ventas,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,ct_prod,ct_cantidad_npk_fq
11045501125400001,55,0.0,0.0,,0.0,0.0,1,99,7,157,16.0,25.0,6.0,0,1,90.9090909090909,0.0,0.0,0.0,90.9090909090909,0.0
24015504000390010,55,0.0,0.0,,1.0,1.0,1,49,1,4,10.0,20.0,6.0,0,1,127.272727272727,,1.0,1.0,127.272727272727,40.0
13035002135820013,50,0.0,0.0,0.0,0.0,0.0,1,42,3,13,12.0,19.5,6.0,1,1,81.8181818181818,0.0,0.0,0.0,81.8181818181818,0.0
13105204003600006,52,0.0,0.0,,0.0,0.0,1,74,2,6,7.0,100.0,1.0,0,1,68.1818181818182,0.0,0.0,0.0,68.1818181818182,0.0
12045002094820005,50,0.0,0.0,,0.0,0.0,1,68,1,1,5.0,1.25,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0
22035002003150001,50,0.0,0.0,1.0,0.0,1.0,0,42,2,5,5.0,4.0,2.0,0,1,5.454545454545452,0.0,0.0,0.0,5.454545454545452,300.0
22045501001440001,55,0.0,0.0,,0.0,0.0,0,54,1,2,2.0,1.0,6.0,0,0,2.13636363636364,1.0,1.0,1.0,2.13636363636364,0.0
23015501009760004,55,0.0,0.0,,0.0,1.0,1,53,1,3,12.0,0.13,1.0,0,1,0.0,,1.0,1.0,0.0909090909090909,0.5
13125002192620003,50,0.0,0.0,,0.0,0.0,1,49,1,10,7.0,8.4672,6.0,0,1,43.63636363636361,,,,43.63636363636361,1200.0
11045001150470001,50,0.0,0.0,,0.0,0.0,1,60,2,2,9.0,0.5,6.0,0,1,2.2727272727272703,0.0,0.0,0.0,3.40909090909091,1.0
12085002083060010,50,0.0,0.0,,0.0,0.0,1,66,1,1,6.0,10.0,6.0,0,1,16.136363636363598,,1.0,1.0,16.363636363636402,10.0
15015302000700004,53,0.0,0.0,,0.0,1.0,1,64,1,10,11.0,3.0,2.0,0,1,2.09090909090909,1.0,1.0,1.0,2.2727272727272703,0.0
12085002068770008,50,0.0,0.0,0.0,0.0,0.0,1,49,1,2,17.0,1.6229,1.0,1,1,6.36363636363636,,1.0,1.0,6.36363636363636,400.0
15015302000970006,53,0.0,0.0,,0.0,0.0,1,45,1,7,12.0,0.75,5.0,0,0,2.2727272727272703,1.0,1.0,1.0,2.2727272727272703,0.0
13035702141050005,57,0.0,0.0,,0.0,0.0,1,63,2,1,6.0,10.0,1.0,0,1,14.5454545454545,1.0,1.0,1.0,14.5454545454545,300.0
13105203028310005,52,0.0,0.0,,0.0,0.0,1,72,2,51,16.0,226.0,6.0,0,1,279.1818181818179,0.0,0.0,0.0,279.1818181818179,0.0
13125002192620004,50,0.0,0.0,,0.0,0.0,0,53,1,13,6.0,5.0,6.0,0,1,18.181818181818198,0.0,0.0,0.0,18.181818181818198,1200.0
12115002017700001,50,0.0,0.0,1.0,0.0,0.0,1,68,7,16,26.0,408.0,5.0,0,1,2336.363636363636,0.0,0.0,0.0,2336.363636363636,71400.0
15015102001090009,51,0.0,0.0,,0.0,1.0,1,83,1,3,8.0,2.18,6.0,0,1,2.7272727272727297,1.0,1.0,1.0,2.7272727272727297,6.0
9085102011370001,51,0.0,0.0,0.0,0.0,0.0,1,38,5,7,6.0,3.0,2.0,0,1,9.54545454545455,0.0,0.0,0.0,9.54545454545455,200.0
11025001164250002,50,0.0,0.0,1.0,0.0,0.0,1,20,2,2,8.0,3.0,6.0,0,1,0.0,0.0,0.0,0.0,4.27272727272727,4.0
12095002054210002,50,0.0,0.0,0.0,0.0,0.0,1,25,2,3,6.0,1.0,2.0,0,1,2.6363636363636402,,1.0,1.0,2.7272727272727297,0.0
12095002075620006,50,0.0,0.0,,0.0,0.0,1,70,1,3,5.0,8.0,6.0,0,1,29.0909090909091,,1.0,1.0,29.0909090909091,4800.0
13035102130930013,51,0.0,0.0,,0.0,0.0,0,57,7,2,6.0,0.75,1.0,0,1,0.0,,1.0,,0.7727272727272729,5.0
11105303006900012,53,0.0,0.0,,0.0,0.0,1,31,1,17,9.0,4.0,6.0,0,1,18.0454545454545,,1.0,1.0,18.181818181818198,0.0
12085002079610004,50,0.0,0.0,,0.0,0.0,1,60,1,10,7.0,1.2348,3.0,0,1,3.6363636363636402,0.0,0.0,0.0,3.7272727272727297,100.0
24015002001600001,50,1.0,1.0,0.0,0.0,0.0,0,83,2,21,32.0,150.0,2.0,1,1,681.8181818181818,1.0,,,681.8181818181818,520.0
13105204003600001,52,0.0,0.0,,0.0,0.0,1,62,1,15,8.0,2.0,6.0,0,1,9.09090909090909,1.0,,,9.09090909090909,200.0
12075202056410004,52,0.0,0.0,,0.0,0.0,1,78,1,6,15.0,4.586399999999999,2.0,0,1,30.227272727272723,0.0,0.0,0.0,30.90909090909092,600.0
9045002017400007,50,0.0,0.0,0.0,0.0,0.0,1,56,7,3,5.0,1.5,6.0,0,1,2.2727272727272703,1.0,1.0,1.0,5.90909090909091,5.0
13155002173240004,50,0.0,0.0,,0.0,0.0,1,30,3,10,6.0,2.0,1.0,0,1,11.3636363636364,0.0,0.0,0.0,11.3636363636364,3000.0
12085002069670019,50,0.0,0.0,0.0,0.0,0.0,1,68,1,12,16.0,7.0,6.0,1,1,34.545454545454604,1.0,1.0,,35.454545454545496,0.0
15015302000700003,53,0.0,0.0,,1.0,0.0,1,57,1,3,12.0,4.0,2.0,0,1,15.272727272727304,1.0,1.0,1.0,15.4545454545455,4.0
13155102168470002,51,0.0,0.0,,0.0,0.0,1,70,2,12,6.0,20.0,6.0,0,1,77.2727272727273,0.0,0.0,0.0,77.2727272727273,5000.0
12085002069670015,50,0.0,0.0,0.0,0.0,0.0,1,45,1,3,15.0,1.27,2.0,1,1,8.181818181818189,0.0,0.0,0.0,8.54545454545455,100.0
12065102095810003,51,0.0,0.0,1.0,0.0,1.0,1,99,2,3,10.0,3.0,5.0,1,0,2.7272727272727297,1.0,1.0,1.0,2.7272727272727297,0.0
12075202052520001,52,0.0,0.0,0.0,0.0,1.0,1,51,3,13,14.0,16.0,6.0,1,1,81.8181818181819,0.0,0.0,0.0,81.8181818181819,1500.0
10035202000750002,52,0.0,0.0,,0.0,0.0,1,66,1,3,23.0,4.0,6.0,0,1,0.0,1.0,1.0,1.0,0.818181818181818,0.0
12125002048380009,50,0.0,0.0,,0.0,0.0,1,58,1,3,5.0,1.0,6.0,0,1,6.81818181818182,0.0,0.0,0.0,6.81818181818182,50.0
12075202061080012,52,0.0,0.0,,0.0,0.0,0,70,1,1,5.0,0.7056,2.0,0,1,5.454545454545452,0.0,0.0,0.0,5.454545454545452,300.0
24015503001310013,55,0.0,0.0,,0.0,0.0,1,66,3,3,6.0,2.99,2.0,0,1,16.363636363636402,,1.0,1.0,16.363636363636402,300.0
12085002081770010,50,0.0,0.0,0.0,0.0,0.0,1,60,1,5,16.0,11.2896,6.0,1,1,90.0,0.0,0.0,0.0,90.90909090909099,2400.0
12085002090910009,50,0.0,0.0,0.0,0.0,0.0,0,72,1,8,5.0,5.6448,2.0,0,1,28.181818181818198,1.0,1.0,,29.0909090909091,1200.0
12045002083840001,50,0.0,0.0,1.0,0.0,1.0,1,78,1,3,15.0,15.1,6.0,1,1,79.99999999999999,0.0,0.0,0.0,80.6818181818182,6300.0
12095002078490001,50,0.0,0.0,0.0,0.0,1.0,1,61,3,13,24.0,75.0,6.0,1,1,363.63636363636306,1.0,1.0,1.0,363.63636363636306,15000.0
15015302000250003,53,0.0,0.0,,0.0,0.0,1,57,1,2,12.0,1.5,2.0,0,0,1.3636363636363602,0.0,0.0,0.0,1.3636363636363602,0.0
9085102006500002,51,0.0,0.0,,0.0,0.0,1,41,2,9,12.0,6.0,6.0,0,1,36.3636363636364,0.0,0.0,0.0,36.3636363636364,750.0
12085002079070001,50,0.0,0.0,0.0,0.0,1.0,1,53,2,4,5.0,3.528,6.0,0,1,22.2727272727273,1.0,1.0,1.0,22.7272727272727,500.0
17095002001880004,50,0.0,0.0,,0.0,1.0,1,74,3,34,12.0,22.0,2.0,0,1,90.9090909090909,1.0,1.0,1.0,90.9090909090909,10.0
11095801091810004,58,0.0,0.0,1.0,0.0,0.0,1,59,1,4,9.0,0.5,6.0,0,1,1.59090909090909,1.0,1.0,1.0,1.8181818181818201,0.0
11085101167240002,51,0.0,0.0,,0.0,0.0,1,57,1,9,5.0,0.3,6.0,1,1,0.681818181818182,,,1.0,0.681818181818182,0.0
13155002186310006,50,0.0,0.0,,0.0,0.0,1,31,1,101,8.0,7.0,1.0,0,1,9.09090909090909,1.0,1.0,1.0,9.09090909090909,400.0
9055104000400019,51,0.0,0.0,0.0,0.0,0.0,0,58,2,11,6.0,15.0,6.0,0,1,122.727272727273,,1.0,1.0,122.727272727273,270.0
11055201025790002,52,0.0,0.0,,0.0,0.0,1,48,3,3,12.0,1.5,6.0,1,1,1.8181818181818201,1.0,1.0,1.0,1.8181818181818201,0.0
13115102156450002,51,0.0,0.0,,0.0,0.0,1,82,7,17,5.0,3.0,2.0,0,1,6.81818181818182,1.0,1.0,1.0,7.72727272727273,250.0
9145102050170003,51,0.0,0.0,1.0,0.0,0.0,1,55,2,2,5.0,6.0,1.0,0,1,18.272727272727302,0.0,0.0,0.0,18.272727272727302,900.0
13035702140660017,57,0.0,0.0,,0.0,0.0,1,42,1,2,5.0,1.5,1.0,0,1,0.0,0.0,0.0,0.0,2.7272727272727297,0.0
9055002036860002,50,0.0,0.0,0.0,0.0,0.0,1,40,2,10,7.0,6.0,6.0,0,1,36.363636363636395,0.0,0.0,0.0,36.363636363636395,72.0
11025001164250001,50,0.0,0.0,1.0,0.0,0.0,0,66,2,5,8.0,1.0,6.0,0,1,0.681818181818182,0.0,0.0,0.0,0.818181818181818,1.0
9145002076300003,50,0.0,0.0,,0.0,1.0,1,46,2,4,8.0,6.0,6.0,0,1,29.5454545454545,0.0,0.0,0.0,29.5454545454545,13.0
12065102106640008,51,0.0,0.0,0.0,1.0,0.0,1,42,2,4,9.0,4.0,2.0,0,1,20.9090909090909,0.0,0.0,0.0,20.9090909090909,700.0
13105102248930002,51,0.0,0.0,,0.0,0.0,1,63,2,14,7.0,0.99,6.0,0,1,5.68181818181818,0.0,0.0,0.0,6.36363636363636,6.0
13035102133570007,51,0.0,0.0,,0.0,0.0,1,56,1,21,6.0,5.0,1.0,0,1,21.3636363636364,1.0,,,21.3636363636364,125.0
19025001033890002,50,0.0,0.0,,0.0,0.0,1,58,1,3,10.0,0.3,2.0,0,0,0.0,1.0,1.0,1.0,0.45454545454545503,0.0
12035002133630001,50,0.0,0.0,1.0,0.0,0.0,1,64,1,23,10.0,110.0,3.0,0,1,409.09090909090895,1.0,1.0,1.0,409.09090909090895,11000.0
6105002000420004,50,0.0,0.0,,0.0,0.0,1,82,1,3,10.0,0.35,6.0,0,1,0.36363636363636404,,1.0,1.0,0.36363636363636404,5.0
12065002113570002,50,0.0,0.0,1.0,0.0,0.0,1,41,1,1,10.0,7.056,6.0,1,1,52.2727272727273,1.0,1.0,1.0,52.2727272727273,100.0
24015503001310001,55,0.0,0.0,,0.0,0.0,0,74,3,3,8.0,20.0,2.0,0,1,72.7272727272727,0.0,0.0,0.0,72.7272727272727,1000.0
12055302036170016,53,0.0,0.0,0.0,0.0,0.0,1,78,7,3,13.0,1.25,2.0,1,1,4.7727272727272805,0.0,0.0,0.0,5.68181818181818,0.0
