Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin_cultivo
13035502066290002,13,3,55,2,6629,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,18.0,3,3.0,,3.0,3.0,,,,,,,,,2.0,,4,61.7968638860209,1,1.0,,1,40,4,1,1,0,0,18.0,1,6,2,1,1,483,2,1.0,25.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,,,2.0,2.0,2.0,,,,,,25,,,2.0,2.0,,,,,,,0,34.3673510735902
13035202181770007,13,3,52,2,18177,7,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,3,3.0,,1.0,1.0,,,,,2.0,2.0,,,2.0,,4,61.8114146402069,1,1.0,,1,72,4,1,1,0,0,4.0,1,4,4,1,1,483,1,,72.0,3.0,3.0,1.0,1.24,1.24,1.24,1.24,1.24,1.24,,8.0,35.0,100.0,6.0,6.0,8.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.36363636363636404,0.36363636363636404,0.0,,,,,,,,72,,,1.24,1.24,,,,,,,1,65.1934566076683
13025002206450007,13,2,50,2,20645,7,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,3.0,3,1.0,2.0,3.0,1.0,2.0,,,,,,,,2.0,,4,61.8512646689554,0,,1.0,1,82,3,1,1,0,0,3.0,1,4,5,1,1,483,1,,30.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,35.0,100.0,6.0,6.0,2.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.0909090909090909,0.0909090909090909,0.0,,,,,,,,30,,,1.0,1.0,,,,,,,1,78.75647839839858
12085002097920011,12,8,50,2,9792,11,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.5,3,3.0,,3.0,3.0,,,,,,,,,2.0,,4,61.9516126973796,0,,0.5,1,40,3,1,0,0,0,1.5,1,2,2,1,1,483,1,,6.0,3.0,3.0,3.0,0.75,0.75,0.75,0.75,0.75,0.75,,8.0,35.0,100.0,6.0,7.0,8.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,500.0,2.0,,,,,,,1,0.0,,,1.0,1.0,5.0,4.0,0.5,5.0,4.0,,,,,,,,2.0,,411,,2.0,,4,0.36363636363636404,0.36363636363636404,0.0,,,,,,,,6,0.75,,,,,0.75,,,0.75,0.75,1,66.7101318293442
13045303014940032,13,4,53,3,1494,32,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.06,1,,1.0,1.0,,1.0,,,,,,,,2.0,,4,61.965804992906,0,,35.0,0,36,3,1,0,0,0,1.06,1,2,2,1,1,483,1,,30.0,4.0,4.0,1.0,1.06,1.06,1.06,1.06,1.06,1.06,,12.0,35.0,100.0,6.0,2.0,12.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.545454545454545,0.545454545454545,0.0,,,,,,,,30,,,1.06,1.06,,,,,,,1,61.965804992906
13045303014940033,13,4,53,3,1494,33,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.06,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,61.9961073558024,0,,1.0,0,32,3,1,0,0,0,1.06,1,2,2,1,1,483,1,,30.0,4.0,4.0,1.0,1.06,1.06,1.06,1.06,1.06,1.06,,12.0,35.0,100.0,6.0,2.0,12.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.545454545454545,0.545454545454545,0.0,,,,,,,,30,,,1.06,1.06,,,,,,,1,61.9961073558024
8045302119920002,8,4,53,2,11992,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.5,4,2.0,2.0,4.0,2.0,2.0,,,,,,,,2.0,,4,62.035036245768005,1,1.0,,1,62,2,7,1,0,0,6.5,1,5,4,1,1,483,1,,0.0,4.0,4.0,1.0,1.75,1.75,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,0.12,5.0,2.0,,,,,,,,,,,3.0,,411,,2.0,,4,,,,,,,,,,,0,1.75,,,1.75,,,,,,1.75,1,70.64710772643521
8045302119920002,8,4,53,2,11992,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,6.5,4,2.0,2.0,4.0,2.0,2.0,,,,,,,,2.0,,4,62.035036245768005,1,1.0,,1,62,2,7,1,0,0,6.5,1,5,4,4,3,483,1,,28.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,0.5,0.5,4.0,2.0,35.0,100.0,6.0,2.0,2.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,,411,,2.0,,4,0.0909090909090909,0.0909090909090909,1.5,1.5,,,,1.5,,,28,,,2.0,2.0,,,,,,,1,82.55617628121179
13115102166530006,13,11,51,2,16653,6,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,16.0,3,1.0,2.0,3.0,1.0,2.0,,,,,,,,2.0,,4,62.06186712929621,1,1.0,,1,53,4,1,1,0,0,16.0,1,6,3,1,1,483,1,,22.0,3.0,3.0,1.0,15.0,15.0,15.0,15.0,15.0,15.0,,50.0,35.0,100.0,6.0,1.0,50.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,3.0,,,411,,2.0,,4,2.2727272727272703,2.2727272727272703,0.0,,,,,,,,22,,,15.0,15.0,,,,,,,1,82.63423171281309
12035002132400004,12,3,50,2,13240,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.93,3,,3.0,3.0,,3.0,,,,,,,,2.0,,4,62.139072371851995,0,,3.0,0,46,4,3,0,1,1,4.93,1,4,3,1,1,483,1,,50.0,3.0,3.0,1.0,4.93,4.93,4.93,4.93,4.93,4.93,,10.0,35.0,100.0,6.0,7.0,10.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,,411,,2.0,,4,0.45454545454545503,0.45454545454545503,0.0,,,,,,,,50,,,4.93,4.93,,,,,,,1,62.1390723718521
