Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
3045056000993459,3,4,50,56,99,3459,1,1,407,1,,12.0,3.0,2.2,2.0,130.0,130.0,130.0,130.0,130.0,130.0,,429000.0,16.0,42.0,3.0,7.0,429000.0,16.0,42.0,3.0,,100.0,,,,,,,,,0,0,1,130.0,130.0,,,100.0,,,,1,1,2600.0,2.0,,,,,1,71500.0,2.0,,,,,,,1,1.0,825.0,5.0,1.0,780.0,5.0,2.0,,,,500.0,5.0,2.0,,,,,,,407,1.0,,,4,8190.0,8190.0,0.0,,,,,,,,12,,130.0,,,130.0,,,130.0,130.0,130.0,1,1.0
4015903000260005,4,1,59,3,26,5,2,1,407,1,,5.0,3.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,240.0,36.0,20.0,3.0,2.0,120.0,36.0,20.0,3.0,100.0,,100.0,,,20.0,,,,,0,0,0,,,,,,,,,1,1,2.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,4.0,,407,1.0,,,4,2.18181818181818,1.09090909090909,0.0,,,,,,,,5,0.5,,,0.5,,,,,0.5,,1,55.4484317402326
4015903000260007,4,1,59,3,26,7,1,1,407,1,,60.0,2.0,2.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,288.0,36.0,15.0,3.0,2.0,144.0,36.0,15.0,3.0,100.0,,134.0,,,10.0,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,2.0,,407,1.0,,,4,1.96363636363636,0.981818181818182,0.0,,,,,,,,60,,,0.2,0.2,,,,,,,1,122.71762863504401
5025002000390001,5,2,50,2,39,1,1,1,407,1,,35.0,3.0,3.0,1.0,29.57,29.57,29.57,29.57,29.57,29.57,,96000.0,16.0,45.0,3.0,2.0,96000.0,16.0,45.0,3.0,,100.0,,,,,,,,,0,0,1,29.57,29.57,,100.0,,,,,1,0,,,,,,,1,87.0,5.0,,,,,,,1,0.0,,,1.0,116.0,5.0,3.0,116.0,5.0,3.0,21.75,5.0,3.0,,,,40.0,,,407,1.0,,,4,1963.63636363636,1963.63636363636,0.0,,,,,,,,35,,,29.57,29.57,,,,29.57,29.57,29.57,1,15.2592003960885
5025002000390001,5,2,50,2,39,1,2,2,407,1,,35.0,3.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,,21600.0,16.0,45.0,3.0,2.0,21600.0,16.0,45.0,3.0,,100.0,,,,,,,,,0,0,1,10.0,10.0,,100.0,,,,,1,0,,,,,,,1,30.0,5.0,,,,,,,1,0.0,,,1.0,40.0,5.0,3.0,40.0,5.0,3.0,,,,,,,,,,407,1.0,,,4,441.818181818182,441.818181818182,0.0,,,,,,,,35,,,10.0,10.0,,,,10.0,10.0,10.0,1,14.068882112196
5025002000390003,5,2,50,2,39,3,1,1,407,1,,20.0,3.0,3.0,1.0,24.9,24.9,24.9,24.9,24.9,24.9,,19200.0,16.0,45.0,3.0,2.0,19200.0,16.0,45.0,3.0,,100.0,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,50.0,5.0,,,,,,,1,0.0,,,1.0,6.0,5.0,4.0,6.0,5.0,4.0,,,,,,,30.0,,,407,1.0,,,4,392.727272727273,392.727272727273,0.0,,,,,,,,20,,,24.9,24.9,,,,,24.9,24.9,1,3.2998305147890896
5025002000850001,5,2,50,2,85,1,1,1,407,1,,7.0,3.0,3.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,,15360.0,16.0,43.0,3.0,2.0,15360.0,16.0,43.0,3.0,0.0,100.0,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,8.0,5.0,1.0,8.0,5.0,3.0,,,,,,,6.0,1.0,,407,1.0,,,4,300.218181818182,300.218181818182,0.0,,,,,,,,7,8.0,,,,8.0,,,,,8.0,1,12.5832043369775
5025002000850002,5,2,50,2,85,2,1,1,407,1,,14.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3840.0,16.0,43.0,3.0,2.0,3840.0,16.0,43.0,3.0,,100.0,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,30.0,3.0,,,,,,,1,0.0,,,1.0,2.0,5.0,1.0,2.0,5.0,3.0,,,,,,,,,,407,1.0,,,4,75.0545454545454,75.0545454545454,0.0,,,,,,,,14,,2.0,,,2.0,,,,2.0,2.0,1,26.4436434611938
5025002000850003,5,2,50,2,85,3,1,1,407,1,,6.0,3.0,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,,13440.0,16.0,45.0,3.0,2.0,13440.0,16.0,45.0,3.0,0.0,100.0,,,,,,,,,0,0,0,,,,,,,,,1,1,10.0,3.0,,,,,0,,,,,,,,,1,0.0,,,1.0,7.0,5.0,2.0,,,,,,,,,,2.0,0.0,,407,1.0,,,4,274.909090909091,274.909090909091,0.0,,,,,,,,6,7.0,,,,7.0,,,,7.0,7.0,1,11.4433184574896
5025002000850004,5,2,50,2,85,4,1,1,407,1,,11.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,9600.0,16.0,45.0,3.0,1.0,9600.0,16.0,45.0,3.0,0.0,100.0,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,0.0,,,1.0,5.0,5.0,4.0,5.0,5.0,2.0,,,,,,,25.0,1.0,,407,1.0,,,4,196.363636363636,196.363636363636,0.0,,,,,,,,11,,5.0,,,5.0,,,,,5.0,1,22.9208841475556
