Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin
13045302154750003,13,4,53,2,15475,3,1,1,411,1,,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,35.0,100.0,6.0,2.0,21.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.954545454545455,0.954545454545455,0.0,,,,,,,,5,1.0,,,,1.0,,,,1.0,,1,66.0012539853934
13045302154750004,13,4,53,2,15475,4,2,2,411,1,,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,35.0,100.0,6.0,2.0,21.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.954545454545455,0.954545454545455,0.0,,,,,,,,5,1.0,,,,1.0,,,,1.0,,1,67.5840226094502
13045302154750005,13,4,53,2,15475,5,1,1,411,1,,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,35.0,100.0,6.0,2.0,21.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,200.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.954545454545455,0.954545454545455,0.0,,,,,,,,5,1.0,,,,1.0,,,,1.0,,1,67.5010869444237
13045302154750006,13,4,53,2,15475,6,2,2,411,1,,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,21.0,35.0,100.0,6.0,2.0,21.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,,411,,2.0,,4,0.954545454545455,0.954545454545455,0.0,,,,,,,,5,1.0,,,1.0,,,,,1.0,,1,47.0736111175401
13045302154750007,13,4,53,2,15475,7,1,1,411,1,,7.0,4.0,4.0,1.0,9.98,9.98,9.98,9.98,9.98,9.98,,60.0,35.0,100.0,6.0,2.0,60.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,4.0,,411,,2.0,,4,2.7272727272727297,2.7272727272727297,0.0,,,,,,,,7,9.98,,,9.98,,,,,,,1,51.9250065399829
13045302154750008,13,4,53,2,15475,8,1,1,411,1,,4.0,4.0,4.0,2.0,2.72,2.72,2.72,2.72,2.72,2.72,,84.0,35.0,100.0,6.0,2.0,84.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,200.0,2.0,,,,,,,1,0.0,,,1.0,4.0,5.0,2.0,,,,,,,,,,,,,411,,2.0,,4,3.81818181818182,3.81818181818182,0.0,,,,,,,,4,2.72,,,,2.72,,,,2.72,2.72,1,75.22648519610809
13045302156850002,13,4,53,2,15685,2,1,1,411,1,,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,30.0,35.0,100.0,6.0,2.0,30.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,200.0,2.0,,,,,,,1,0.0,,,1.0,,,,2.0,5.0,2.0,,,,,,,2.0,,,411,,2.0,,4,1.3636363636363602,1.3636363636363602,0.0,,,,,,,,6,2.0,,,,2.0,,,,2.0,2.0,1,32.038293498554204
13045302156850002,13,4,53,2,15685,2,3,3,411,1,,8.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,15.0,35.0,100.0,6.0,2.0,15.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,,,,1.5,5.0,3.0,,,,,,,2.0,,,411,,2.0,,4,0.681818181818182,0.681818181818182,0.0,,,,,,,,8,3.0,,,,3.0,,,,3.0,3.0,1,14.742729559703696
13045302156850002,13,4,53,2,15685,2,6,6,411,1,,3.0,3.0,3.0,2.0,0.98,0.98,0.98,0.98,0.98,0.98,,15.0,35.0,100.0,6.0,2.0,15.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,,,,2.5,5.0,2.0,,,,,,,,,,411,,2.0,,4,0.681818181818182,0.681818181818182,0.0,,,,,,,,3,0.98,,,,0.98,,,,0.98,0.98,1,52.856963206689215
13045302156850004,13,4,53,2,15685,4,1,1,411,1,,12.0,4.0,4.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,,60.0,35.0,100.0,6.0,7.0,60.0,35.0,100.0,6.0,100.0,,,,,,,,,,0,0,0,,,,,,,,,1,0,,,,,,,1,100.0,2.0,,,,,,,1,0.0,,,1.0,2.0,5.0,2.0,,,,,,,,,,2.0,,,411,,2.0,,4,2.7272727272727297,2.7272727272727297,0.0,,,,,,,,12,,1.5,,,1.5,,,,1.5,1.5,1,85.907782433282
