Identificador;ual_prov;ual_cant;ual_parr;ual_estr;ual_segm;al_ncues;ec19_actafec;ec19_dadinsu;ec19_dconmob;ec19_dtraterre;ec19_dofretrab;ec19_pveprfalt;ec19_pveprausc;ec19_accecred;ec19_recayamag;ec19_recayusgr;ec19_recayugc;ec19_recayugadm;ec19_recayugadp;ec19_recayuong;ec19_recayuotro;ec19_recayudesc
02055401136490012;02;05;54;01;13649;0012;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
07045104000750003;07;04;51;04;00075;0003;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
07025403005470016;07;02;54;03;00547;0016;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
13135502226710006;13;13;55;02;22671;0006;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17025301034350001;17;02;53;01;03435;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
02055104000300008;02;05;51;04;00030;0008;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
24015402000560001;24;01;54;02;00056;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02015501048510001;02;01;55;01;04851;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
04055001073900004;04;05;50;01;07390;0004;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2; 
11115601019630003;11;11;56;01;01963;0003;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2; 
17018101007620001;17;01;81;01;00762;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
05045001173390018;05;04;50;01;17339;0018;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
06035101068160001;06;03;51;01;06816;0001;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
05045001173390005;05;04;50;01;17339;0005;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
04055001050200007;04;05;50;01;05020;0007;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2; 
17025001109140003;17;02;50;01;10914;0003;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
08045102107780004;08;04;51;02;10778;0004;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2; 
23015301100920001;23;01;53;01;10092;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09065202068980001;09;06;52;02;06898;0001;1;2;2;1;2;1;1;2;1;2;2;2;2;2;2; 
12025102121130024;12;02;51;02;12113;0024;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02015801090360002;02;01;58;01;09036;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11015101056300001;11;01;51;01;05630;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
08045502163310005;08;04;55;02;16331;0005;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17025201146870020;17;02;52;01;14687;0020;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
06026001129760016;06;02;60;01;12976;0016;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
03035501049740008;03;03;55;01;04974;0008;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2; 
21075002035670005;21;07;50;02;03567;0005;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
13105204003600006;13;10;52;04;00360;0006;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
07135804000560001;07;13;58;04;00056;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
17016901025550001;17;01;69;01;02555;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12115001003520006;12;11;50;01;00352;0006;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2; 
06075201012390004;06;07;52;01;01239;0004;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2; 
04045001061060004;04;04;50;01;06106;0004;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2; 
13055103004600006;13;05;51;03;00460;0006;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2; 
02015101006900001;02;01;51;01;00690;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17015401086540001;17;01;54;01;08654;0001;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09035002155790007;09;03;50;02;15579;0007;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
06105002000430002;06;10;50;02;00043;0002;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
09085102011370009;09;08;51;02;01137;0009;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
18016001038740057;18;01;60;01;03874;0057;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12125002050680004;12;12;50;02;05068;0004;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
04015404000120004;04;01;54;04;00012;0004;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2; 
01015703002230002;01;01;57;03;00223;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02025001160100002;02;02;50;01;16010;0002;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02075002001700008;02;07;50;02;00170;0008;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
02035501100900007;02;03;55;01;10090;0007;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17017101167040001;17;01;71;01;16704;0001;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
05075001033970005;05;07;50;01;03397;0005;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
05016201039590005;05;01;62;01;03959;0005;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
08075202073570003;08;07;52;02;07357;0003;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2; 
05025002000390004;05;02;50;02;00039;0004;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2; 
